participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,trial_5,trial_5_correct_answer,trial_5_response,trial_5_score,trial_6,trial_6_correct_answer,trial_6_response,trial_6_score,total_score,notes,exclude,exclude_reason,notes
11,4/18/2024,Grannys_Gratitude_Stickers_20240417_22,210186,deb2a774-40e4-4cae-9a03-52c67785aef8,1095-1460,1320,3.62,male,en,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,4,,,,
12,4/19/2024,Grannys_Gratitude_Stickers_20240419_2,210476,d5f31777-7a97-4ea5-ab52-b056563156c3,1095-1460,1200,3.29,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,left,right,0,exp7_basketball_egg_correct_right_noah,right,right,1,exp7_rock_wine_correct_right_billy,right,right,1,exp7_bear_water_correct_right_connor,right,right,1,exp7_bulb_laundry_correct_left_jessie,left,right,0,exp7_glass_beanbag_correct_right_lucas,right,right,1,4,,,,
13,4/26/2024,Grannys_Gratitude_Stickers_20240426_2,212156,4db85d2b-ab6b-44d1-964f-daaa7e45a48c,1095-1460,1110,3.04,female,en,benji,harry,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_basketball_egg_correct_right_noah,noah,charlie,0,2,,,,
14,4/27/2024,Grannys_Gratitude_Stickers_20240427_3,212392,3fa26c21-f493-4388-8086-ce4e048315bc,1095-1460,1110,3.04,male,en,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,4,,,,
15,4/28/2024,Grannys_Gratitude_Stickers_20240428_7,212631,b22a0632-b6f4-40be-a1f7-df035985626d,1095-1460,1230,3.37,male,en,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,2,,,,
16,5/6/2024,Grannys_Gratitude_Stickers_20240506_1,214035,a9c48073-9521-4bad-9353-3f5e0d81a7b7,1095-1460,1200,3.29,male,en,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_apple_trashcan_correct_right_alex,alex,alex (right),1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,4,,,,
17,5/8/2024,Grannys_Gratitude_Stickers_20240508_3,214763,5e53d857-907b-4aac-b3a3-7fd472cf5a20,1095-1460,1230,3.37,female,en,benji,harry,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_right_alex,alex,right,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,5,,,,
18,5/9/2024,Grannys_Gratitude_Stickers_20240509_6,215037,a6156bf2-46d5-42e2-9632-f11bf81a7894,1095-1460,1440,3.95,female,en so ur,benji,harry,exp7_glass_beanbag_correct_right_lucas,lucas,right,1,exp7_apple_trashcan_correct_left_lily,lily,left,1,exp7_basketball_egg_correct_left_charlie,charlie,right,0,exp7_bulb_laundry_correct_left_jessie,jessie,right,0,exp7_bear_water_correct_right_connor,connor,right,1,exp7_rock_wine_correct_left_amber,amber,left,1,4,,,,
19,6/20/2024,Grannys_Gratitude_Stickers_20240620_7,225554,dbbef359-c13a-472f-a23e-76a69a6de5ae,1095-1460,1200,3.29,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,1,,,,
20,6/20/2024,Grannys_Gratitude_Stickers_20240620_10,225653,8dd73a8c-3424-4e30-8015-5319b1c2a1eb,1095-1460,1440,3.95,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,2,,,,
21,6/20/2024,Grannys_Gratitude_Stickers_20240620_11,225691,b0506c98-a7cc-4f3c-a899-93a4d6090df8,1095-1460,1140,3.12,male,en,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bulb_laundry_correct_right_caleb,caleb,right,1,5,,,,
22,6/21/2024,Grannys_Gratitude_Stickers_20240621_9,225932,6ea2ea20-4881-49f0-a067-1d53303b465e,1095-1460,1140,3.12,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bulb_laundry_correct_left_jessie,jesse,jesse,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,3,,,,
23,6/22/2024,Grannys_Gratitude_Stickers_20240622_7,226191,4ca52582-34b1-436d-b4da-518c9f9c38b9,1095-1460,1380,3.78,female,en fr,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_right_connor,connor,vicky,0,4,,,,
24,7/19/2024,Grannys_Gratitude_Stickers_20240719_1,234085,ba83f40f-15a1-43a1-bc8d-6ed3cccd06ad,1095-1460,1110,3.04,female,en,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,3,,,,
25,7/19/2024,Grannys_Gratitude_Stickers_20240719_2,234211,11a743d5-1578-4ca5-8ca1-c4cd991ca72e,1095-1460,1320,3.62,female,en,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_rock_wine_correct_left_amber,amber,amber,1,4,,,,
26,7/21/2024,Grannys_Gratitude_Stickers_20240721_1,234554,37aecdc6-0552-4472-b98c-21a0916db732,1095-1460,1200,3.29,male,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,3,,,,
27,7/22/2024,Grannys_Gratitude_Stickers_20240722_2,234679,a4674808-1216-4975-982f-509d20b1eee2,1095-1460,1380,3.78,male,en,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_rock_wine_correct_left_amber,amber,amber,1,3,,,,
28,7/22/2024,Grannys_Gratitude_Stickers_20240722_3,234693,b8a34446-67fe-4a44-9b29-7261c4cbebb4,1095-1460,1410,3.86,male,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bear_water_correct_right_connor,connor,connor,1,2,,,,
29,7/22/2024,Grannys_Gratitude_Stickers_20240722_4,234697,101ac357-cc47-4b24-97ac-6b3166f87a44,1095-1460,1170,3.21,male,en so,benji,harry,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,4,,,,
30,7/23/2024,Grannys_Gratitude_Stickers_20240722_6,234823,e3506fae-bc25-4636-9a0f-a7bddde39bd9,1095-1460,1170,3.21,male,en es,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,4,,,,
31,4/10/2024,Grannys_Gratitude_Stickers_20240410_4,208054,0ee3c5ad-3170-4bf3-9575-a664cffa8601,1461-1826,1680,4.60,female,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,5,,,,
32,4/12/2024,Grannys_Gratitude_Stickers_20240412_12,208613,007d38bb-e417-435f-a8a3-4f37d6c1bc8f,1461-1826,1650,4.52,female,en cmn,benji,harry,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_rock_wine_correct_left_amber,amber,billy,0,2,,,,
33,4/13/2024,Grannys_Gratitude_Stickers_20240413_8,208734,458574fe-2a23-4ef6-86f4-0116c9bca734,1461-1826,1710,4.68,male,en,benji,harry,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,0,,,,
34,4/13/2024,Grannys_Gratitude_Stickers_20240413_15,208800,a3b0766d-5b73-4609-815d-8dfb673dfde8,1461-1826,1620,4.44,male,en,benji,harry,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,3,,,,
35,4/13/2024,Grannys_Gratitude_Stickers_20240413_20,208858,1ac149eb-e677-407d-8417-cfd1ba00d487,1461-1826,1500,4.11,female,en ro,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,6,,,,
36,4/14/2024,Grannys_Gratitude_Stickers_20240414_1,208972,81b90566-ee6c-444c-9214-7e0d8623e317,1461-1826,1620,4.44,male,en so,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,amber,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,exp7_glass_beanbag_correct_right_lucas, lucas, lucas,1,exp7_bear_water_correct_right_connor,connor,connor,1,3,,,,
37,4/29/2024,Grannys_Gratitude_Stickers_20240429_1,212812,403a58c5-f373-4429-90fd-f5bb8b8fb0eb,1461-1826,1770,4.85,male,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_left_emily,emily,emily,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,3,,,,
38,4/17/2024,Grannys_Gratitude_Stickers_20240417_12,210097,898600d2-63ba-4d29-b3f3-17ce8924b287,1461-1826,1770,4.85,female,en,benji,harry,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_bulb_laundry_correct_left_jessie,jesse,jesse,1,2,,,,
39,4/18/2024,Grannys_Gratitude_Stickers_20240418_3,210293,5c268700-21dd-4274-b0bd-d0aead1b4131,1461-1826,1620,4.44,male,en,benji,harry,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bear_water_correct_right_connor,connor,connor,1,4,,,,
40,4/18/2024,Grannys_Gratitude_Stickers_20240418_5,210347,3542612d-2082-4ace-a72e-b0781334a4af,1461-1826,1800,4.93,na,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,0,,,,
41,4/26/2024,Grannys_Gratitude_Stickers_20240426_3,212172,192ce30b-d243-452f-8426-12755c7cf77b,1461-1826,1620,4.44,male,en yue,benji,harry,exp7_rock_wine_correct_left_amber,amber,lily,0,exp7_bear_water_correct_left_vicky, vicky,connor,0,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,3,,,,
42,4/27/2024,Grannys_Gratitude_Stickers_20240427_5,212435,e7e86c6a-9a4f-4c05-9f60-85b453babb19,1461-1826,1800,4.93,female,en cmn,benji,harry,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,1,,,,
43,4/30/2024,Grannys_Gratitude_Stickers_20240430_2,213056,8271b0ba-9583-4dca-9b38-5c6e7b3d052d,1461-1826,1530,4.85,female,en,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_rock_wine_correct_left_amber,amber,billy,0,1,,,,
44,4/30/2024,Grannys_Gratitude_Stickers_20240430_3,213093,f34f0d70-6d75-4e50-a012-c3d62e2bbc0b,1461-1826,1740,4.77,male,en ur,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,3,,,,
45,4/30/2024,Grannys_Gratitude_Stickers_20240430_5,213114,5c1685c6-6de5-424e-9f4b-9bb6600e39d7,1461-1826,1680,4.60,female,en,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,5,,,,
46,5/1/2024,Grannys_Gratitude_Stickers_20240501_4,213225,a2f72201-5aae-4d4d-b636-c595e3a29675,1461-1826,1680,4.60,female,en cmn nan,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,5,,,,
47,5/1/2024,Grannys_Gratitude_Stickers_20240501_8,213333,c3d20da8-b74a-4c5e-995f-4c5eba0eed52,1461-1826,1590,4.36,female,en es,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_apple_trashcan_correct_right_alex,alex,lily,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_bear_water_correct_right_connor,connor,vicky,0,2,,,,
48,5/3/2024,Grannys_Gratitude_Stickers_20240503_2,213562,a7623e59-ce42-4ee4-82fa-0a370608cfe2,1461-1826,1800,4.93,male,en ml,benji,harry,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_glass_beanbag_correct_right_lucas, lucas,emily,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,4,,,,
49,5/5/2024,Grannys_Gratitude_Stickers_20240505_5,213954,0b588458-f6c6-43c9-a11b-2c51c137bd08,1461-1826,1800,4.93,male,en nl so,benji,harry,exp7_rock_wine_correct_left_amber,amber,amber,1,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,2,,,,
50,5/6/2024,Grannys_Gratitude_Stickers_20240506_3,214146,671d8efd-df90-4b2f-a73f-899c700438b6,1461-1826,1650,4.52,female,en ml,benji,harry,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,2,,,,
51,6/21/2024,Grannys_Gratitude_Stickers_20240621_3,225839,163285ef-ec03-4e35-9d26-a0a88ff666c1,1461-1826,1500,4.11,female,en de ur,benji,harry,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,4,,,,
