"gender","age","race","ethnicity","feedback","plant_response","lamp_response","video_1","video_1_correct_answer","video_1_response","video_2","video_2_correct_answer","video_2_response","video_3","video_3_correct_answer","video_3_response","video_4","video_4_correct_answer","video_4_response","video_5","video_5_correct_answer","video_5_response","video_6","video_6_correct_answer","video_6_response"
"Female",30,"White","Non-Hispanic","I guess the person that deserves more of a thanks is the person that prevented further damage/harm to the item. ","Benji","Harry","glass","Lucas","Lucas","basketball","Charlie","Charlie","lightbulb","Jessie","Jessie","apple","Lily","Lily","bear","Vicky","Vicky","rock","Amber","Amber"
"Female",67,"White","Non-Hispanic","The only thing that influenced me was knowing what Granny would have \lost\. I couldn't think of anything else that would affect my decision. ","Benji","Harry","lightbulb","Jessie","Jessie","bear","Connor","Connor","basketball","Charlie","Charlie","apple","Lily","Lily","rock","Billy","Billy","glass","Emily","Lucas"
"Male",35,"Asian","Non-Hispanic","If there was going to be any additional damage caused by the item dropped","Benji","Harry","basketball","Noah","Noah","bear","Vicky","Vicky","glass","Lucas","Lucas","apple","Lily","Lily","rock","Billy","Billy","lightbulb","Caleb","Caleb"
"Female",68,"White","Non-Hispanic","I tried to pick the friend on the side where it mattered more if the item was caught or not.","Benji","Harry","bear","Connor","Vicky","glass","Lucas","Emily","apple","Alex","Lily","lightbulb","Caleb","Jessie","basketball","Noah","Noah","rock","Billy","Billy"
"Male",35,"White","Non-Hispanic","what items were under the caught items. ","Benji","Harry","lightbulb","Caleb","Jessie","glass","Emily","Emily","basketball","Charlie","Charlie","apple","Lily","Lily","bear","Connor","Connor","rock","Billy","Billy"
"Female",44,"White","Non-Hispanic","When there was a negative object under the object I picked the other person but when there was an object I liked like wine I picked that person. ","Benji","Harry","basketball","Charlie","Charlie","apple","Alex","Lily","lightbulb","Caleb","Caleb","rock","Amber","Amber","bear","Connor","Vicky","glass","Lucas","Emily"
"Female",27,"Black/African American","Non-Hispanic","I was conflicted on ones where the item would have fell onto a soft surface because the person caught them even if they didn't need to, but ultimately decided the person who saved the items from damage were slightly more deserving.","Benji","Harry","glass","Lucas","Lucas","lightbulb","Jessie","Jessie","apple","Alex","Alex","basketball","Noah","Noah","rock","Amber","Amber","bear","Connor","Connor"
"Male",40,"White","Hispanic","How much damage might result from the dropping the item. Consistently engaging experiment.","Benji","Harry","apple","Alex","Alex","lightbulb","Caleb","Caleb","rock","Billy","Billy","glass","Emily","Emily","basketball","Charlie","Charlie","bear","Connor","Connor"
"Male",47,"White","Non-Hispanic","I chose the person who prevented the more negative of the two expected outcomes to thank.","Benji","Harry","basketball","Noah","Noah","rock","Billy","Billy","lightbulb","Jessie","Jessie","bear","Vicky","Vicky","apple","Lily","Lily","glass","Lucas","Lucas"
"Female",44,"Black/African American","Non-Hispanic","Which choice saved the most damage.","Benji","Harry","apple","Alex","Alex","bear","Connor","Connor","lightbulb","Jessie","Jessie","rock","Billy","Billy","basketball","Charlie","Charlie","glass","Emily","Emily"
"Female",33,"Black/African American","Non-Hispanic","The main factor that influenced me to respond is which person was by an item that would have made the situation worse if that person did not catch the item.  I dont have any questions or comments about the experiment.","Benji","Harry","lightbulb","Jessie","Caleb","bear","Connor","Connor","glass","Lucas","Lucas","rock","Amber","Amber","apple","Alex","Alex","basketball","Charlie","Charlie"
"Male",39,"White","Non-Hispanic","If there was a possibility of damage to the dropped objects or if the dropped objects caused damage to whatever might be on the floor, whomever caught that object and saved it or the item on the floor got the sticker.","Benji","Harry","bear","Vicky","Vicky","apple","Lily","Lily","rock","Amber","Amber","glass","Emily","Emily","lightbulb","Caleb","Caleb","basketball","Noah","Noah"
"Female",54,"White","Non-Hispanic","It was what was underneath the things that dropped","Benji","Harry","rock","Amber","Amber","lightbulb","Jessie","Jessie","apple","Alex","Lily","glass","Lucas","Lucas","basketball","Noah","Noah","bear","Vicky","Connor"
"Female",58,"Black/African American","Non-Hispanic","I just listened carefully and used my gut instinct. no","Benji","Harry","lightbulb","Jessie","Caleb","glass","Lucas","Emily","bear","Connor","Connor","basketball","Noah","Noah","rock","Billy","Billy","apple","Alex","Alex"
